番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,国立,岐阜大学,うち22歳以上,81,17,98,6,0,6,7%,0%,103,18,121,8,2,10,8%,11%,93,17,110,10,0,10,11%,0%,99,15,114,8,1,9,8%,7%,100,23,123,10,1,11,10%,4%,413,62,475,18,1,19,4%,2%
19,国立,浜松医科大学,合計,203,149,352,68,49,117,33%,33%,322,191,513,71,46,117,22%,24%,392,286,678,67,52,119,17%,18%,355,208,563,80,44,124,23%,21%,297,218,515,74,44,118,25%,20%,375,271,646,75,45,120,20%,17%
19,国立,浜松医科大学,うち18歳以下,130,107,237,42,35,77,32%,33%,205,134,339,39,33,72,19%,25%,242,196,438,41,30,71,17%,15%,219,151,370,36,28,64,16%,19%,163,143,306,36,26,62,22%,18%,222,170,392,46,23,69,21%,14%
19,国立,浜松医科大学,うち19歳,41,27,68,18,11,29,44%,41%,61,34,95,22,9,31,36%,26%,93,56,149,18,18,36,19%,32%,84,36,120,31,11,42,37%,31%,75,41,116,30,11,41,40%,27%,79,60,139,18,16,34,23%,27%
19,国立,浜松医科大学,うち20歳,13,9,22,6,3,9,46%,33%,23,13,36,8,3,11,35%,23%,27,20,47,7,2,9,26%,10%,15,8,23,3,3,6,20%,38%,28,23,51,6,6,12,21%,26%,23,13,36,6,1,7,26%,8%
19,国立,浜松医科大学,うち21歳,4,1,5,2,0,2,50%,0%,7,6,13,1,1,2,14%,17%,8,2,10,0,0,0,0%,0%,9,2,11,4,1,5,44%,50%,10,2,12,1,0,1,10%,0%,7,9,16,0,3,3,0%,33%
19,国立,浜松医科大学,うち22歳以上,15,5,20,0,0,0,0%,0%,26,4,30,1,0,1,4%,0%,22,12,34,1,2,3,5%,17%,28,11,39,6,1,7,21%,9%,21,9,30,1,1,2,5%,11%,44,19,63,5,2,7,11%,11%
20,国立,名古屋大学,合計,221,72,293,89,23,112,40%,32%,177,68,245,81,29,110,46%,43%,192,90,282,83,27,110,43%,30%,210,53,263,96,15,111,46%,28%,188,71,259,83,29,112,44%,41%,184,54,238,91,21,112,49%,39%
20,国立,名古屋大学,うち18歳以下,124,43,167,53,16,69,43%,37%,106,35,141,51,17,68,48%,49%,101,61,162,43,17,60,43%,28%,116,31,147,56,7,63,48%,23%,103,47,150,52,20,72,50%,43%,108,40,148,57,15,72,53%,38%
20,国立,名古屋大学,うち19歳,51,17,68,28,6,34,55%,35%,37,16,53,26,9,35,70%,56%,42,19,61,32,9,41,76%,47%,38,12,50,23,7,30,61%,58%,35,14,49,20,9,29,57%,64%,44,11,55,27,6,33,61%,55%
20,国立,名古屋大学,うち20歳,14,6,20,6,1,7,43%,17%,6,6,12,0,3,3,0%,50%,9,3,12,4,0,4,44%,0%,12,3,15,4,0,4,33%,0%,11,4,15,6,0,6,55%,0%,9,0,9,3,0,3,33%,-
20,国立,名古屋大学,うち21歳,2,2,4,1,0,1,50%,0%,1,0,1,1,0,1,100%,-,6,1,7,0,0,0,0%,0%,6,2,8,2,1,3,33%,50%,7,2,9,2,0,2,29%,0%,2,2,4,2,0,2,100%,0%
20,国立,名古屋大学,うち22歳以上,30,4,34,1,0,1,3%,0%,27,11,38,3,0,3,11%,0%,34,6,40,4,1,5,12%,17%,38,5,43,11,0,11,29%,0%,32,4,36,3,0,3,9%,0%,21,1,22,2,0,2,10%,0%
21,国立,三重大学,合計,308,115,423,88,37,125,29%,32%,303,124,427,88,37,125,29%,30%,292,119,411,78,48,126,27%,40%,229,77,306,92,34,126,40%,44%,299,124,423,87,38,125,29%,31%,285,133,418,83,43,126,29%,32%
21,国立,三重大学,うち18歳以下,109,50,159,29,15,44,27%,30%,108,76,184,23,23,46,21%,30%,91,53,144,14,26,40,15%,49%,90,38,128,41,19,60,46%,50%,114,55,169,36,19,55,32%,35%,95,44,139,33,21,54,35%,48%
21,国立,三重大学,うち19歳,85,33,118,34,14,48,40%,42%,60,23,83,25,7,32,42%,30%,65,39,104,24,18,42,37%,46%,40,16,56,17,8,25,43%,50%,67,30,97,22,12,34,33%,40%,88,52,140,30,11,41,34%,21%
21,国立,三重大学,うち20歳,31,18,49,12,6,18,39%,33%,27,11,38,14,7,21,52%,64%,33,10,43,17,3,20,52%,30%,26,3,29,12,2,14,46%,67%,28,20,48,6,3,9,21%,15%,34,17,51,5,5,10,15%,29%
21,国立,三重大学,うち21歳,17,3,20,4,1,5,24%,33%,20,1,21,9,0,9,45%,0%,16,5,21,3,0,3,19%,0%,11,7,18,3,2,5,27%,29%,27,4,31,7,1,8,26%,25%,17,7,24,4,4,8,24%,57%
21,国立,三重大学,うち22歳以上,66,11,77,9,1,10,14%,9%,88,13,101,17,0,17,19%,0%,87,12,99,20,1,21,23%,8%,62,13,75,19,3,22,31%,23%,63,15,78,16,3,19,25%,20%,51,13,64,11,2,13,22%,15%
22,国立,滋賀医科大学,合計,295,190,485,67,33,100,23%,17%,326,193,519,60,40,100,18%,21%,337,200,537,61,40,101,18%,20%,340,246,586,69,33,102,20%,13%,225,158,383,63,37,100,28%,23%,352,275,627,60,40,100,17%,15%
22,国立,滋賀医科大学,うち18歳以下,101,113,214,20,21,41,20%,19%,113,97,210,19,23,42,17%,24%,106,104,210,17,22,39,16%,21%,119,148,267,22,19,41,18%,13%,96,77,173,22,18,40,23%,23%,152,140,292,23,17,40,15%,12%
22,国立,滋賀医科大学,うち19歳,48,20,68,15,7,22,31%,35%,55,31,86,16,4,20,29%,13%,53,27,80,18,10,28,34%,37%,48,33,81,19,7,26,40%,21%,27,24,51,10,8,18,37%,33%,54,49,103,20,11,31,37%,22%
22,国立,滋賀医科大学,うち20歳,23,11,34,10,2,12,43%,18%,22,16,38,8,6,14,36%,38%,22,13,35,5,2,7,23%,15%,21,13,34,5,5,10,24%,38%,13,8,21,10,1,11,77%,13%,31,17,48,5,5,10,16%,29%
22,国立,滋賀医科大学,うち21歳,12,10,22,3,1,4,25%,10%,10,8,18,3,1,4,30%,13%,17,7,24,5,2,7,29%,29%,10,7,17,4,0,4,40%,0%,7,4,11,1,1,2,14%,25%,12,14,26,1,1,2,8%,7%
22,国立,滋賀医科大学,うち22歳以上,111,36,147,19,2,21,17%,6%,126,41,167,14,6,20,11%,15%,139,49,188,16,4,20,12%,8%,142,45,187,19,2,21,13%,4%,82,45,127,20,9,29,24%,20%,103,55,158,11,6,17,11%,11%
23,国立,京都大学,合計,255,75,330,86,23,109,34%,31%,259,65,324,94,19,113,36%,29%,243,73,316,98,15,113,40%,21%,241,70,311,88,23,111,37%,33%,230,79,309,86,26,112,37%,33%,258,59,317,96,16,112,37%,27%
23,国立,京都大学,うち18歳以下,139,49,188,46,18,64,33%,37%,155,40,195,69,12,81,45%,30%,140,54,194,55,14,69,39%,26%,145,42,187,60,20,80,41%,48%,120,49,169,47,13,60,39%,27%,164,39,203,68,11,79,41%,28%
23,国立,京都大学,うち19歳,63,14,77,31,5,36,49%,36%,58,16,74,20,7,27,34%,44%,59,9,68,34,0,34,58%,0%,55,14,69,15,1,16,27%,7%,69,20,89,34,11,45,49%,55%,56,11,67,24,4,28,43%,36%
23,国立,京都大学,うち20歳,23,4,27,5,0,5,22%,0%,13,2,15,4,0,4,31%,0%,13,3,16,8,0,8,62%,0%,12,5,17,6,2,8,50%,40%,13,4,17,4,1,5,31%,25%,17,3,20,4,1,5,24%,33%
23,国立,京都大学,うち21歳,9,1,10,1,0,1,11%,0%,5,2,7,1,0,1,20%,0%,8,1,9,0,1,1,0%,100%,6,2,8,3,0,3,50%,0%,4,0,4,0,0,0,0%,-,1,1,2,0,0,0,0%,0%
23,国立,京都大学,うち22歳以上,21,7,28,3,0,3,14%,0%,28,5,33,0,0,0,0%,0%,23,6,29,1,0,1,4%,0%,23,7,30,4,0,4,17%,0%,24,6,30,1,1,2,4%,17%,20,5,25,0,0,0,0%,0%
24,国立,大阪大学,合計,196,54,250,79,21,100,40%,39%,153,40,193,80,21,101,52%,53%,199,43,242,91,11,102,46%,26%,209,40,249,86,15,101,41%,38%,226,51,277,83,17,100,37%,33%,214,54,268,82,19,101,38%,35%
24,国立,大阪大学,うち18歳以下,112,41,153,39,15,54,35%,37%,87,24,111,39,12,51,45%,50%,115,24,139,46,8,54,40%,33%,118,27,145,50,9,59,42%,33%,144,37,181,47,12,59,33%,32%,122,38,160,51,13,64,42%,34%
24,国立,大阪大学,うち19歳,57,9,66,30,5,35,53%,56%,52,11,63,36,6,42,69%,55%,48,10,58,32,3,35,67%,30%,58,7,65,30,4,34,52%,57%,51,7,58,28,4,32,55%,57%,50,11,61,27,5,32,54%,45%
24,国立,大阪大学,うち20歳,11,2,13,8,1,9,73%,50%,4,4,8,3,3,6,75%,75%,10,2,12,6,0,6,60%,0%,13,2,15,2,1,3,15%,50%,11,3,14,5,1,6,45%,33%,12,1,13,1,1,2,8%,100%
24,国立,大阪大学,うち21歳,4,0,4,1,0,1,25%,-,1,0,1,1,0,1,100%,-,4,1,5,3,0,3,75%,0%,3,1,4,1,0,1,33%,0%,3,0,3,0,0,0,0%,-,7,0,7,1,0,1,14%,-
24,国立,大阪大学,うち22歳以上,12,2,14,1,0,1,8%,0%,9,1,10,1,0,1,11%,0%,22,6,28,4,0,4,18%,0%,17,3,20,3,1,4,18%,33%,17,4,21,3,0,3,18%,0%,23,4,27,2,0,2,9%,0%
25,国立,神戸大学,合計,201,97,298,73,39,112,36%,40%,213,141,354,72,40,112,34%,28%,213,128,341,72,41,113,34%,32%,172,135,307,67,45,112,39%,33%,203,109,312,70,42,112,34%,39%,196,123,319,69,41,110,35%,33%
25,国立,神戸大学,うち18歳以下,105,56,161,41,20,61,39%,36%,125,88,213,34,26,60,27%,30%,120,85,205,38,24,62,32%,28%,94,92,186,40,30,70,43%,33%,119,73,192,39,25,64,33%,34%,108,85,193,36,26,62,33%,31%
25,国立,神戸大学,うち19歳,60,30,90,24,18,42,40%,60%,53,37,90,30,12,42,57%,32%,40,28,68,23,13,36,58%,46%,42,26,68,20,13,33,48%,50%,46,22,68,22,13,35,48%,59%,49,30,79,25,14,39,51%,47%
25,国立,神戸大学,うち20歳,12,4,16,6,1,7,50%,25%,11,4,15,5,2,7,45%,50%,14,7,21,7,1,8,50%,14%,12,6,18,3,2,5,25%,33%,15,4,19,2,3,5,13%,75%,15,3,18,4,0,4,27%,0%
25,国立,神戸大学,うち21歳,4,2,6,1,0,1,25%,0%,3,5,8,1,0,1,33%,0%,7,2,9,1,1,2,14%,50%,7,5,12,2,0,2,29%,0%,5,3,8,2,0,2,40%,0%,5,2,7,2,0,2,40%,0%
25,国立,神戸大学,うち22歳以上,20,5,25,1,0,1,5%,0%,21,7,28,2,0,2,10%,0%,32,6,38,3,2,5,9%,33%,17,6,23,2,0,2,12%,0%,18,7,25,5,1,6,28%,14%,19,3,22,2,1,3,11%,33%
26,国立,鳥取大学,合計,465,304,769,68,42,110,15%,14%,308,220,528,70,39,109,23%,18%,387,247,634,65,43,108,17%,17%,431,286,717,59,46,105,14%,16%,433,312,745,58,48,106,13%,15%,382,280,662,62,44,106,16%,16%
26,国立,鳥取大学,うち18歳以下,190,171,361,25,19,44,13%,11%,157,142,299,17,24,41,11%,17%,183,141,324,22,17,39,12%,12%,202,145,347,18,18,36,9%,12%,197,153,350,23,17,40,12%,11%,188,174,362,27,18,45,14%,10%
26,国立,鳥取大学,うち19歳,130,82,212,25,19,44,19%,23%,65,49,114,30,15,45,46%,31%,103,71,174,27,23,50,26%,32%,104,87,191,22,14,36,21%,16%,113,109,222,20,26,46,18%,24%,117,64,181,25,19,44,21%,30%
26,国立,鳥取大学,うち20歳,45,19,64,5,2,7,11%,11%,34,12,46,4,0,4,12%,0%,38,18,56,8,2,10,21%,11%,45,34,79,9,10,19,20%,29%,46,21,67,5,5,10,11%,24%,31,18,49,5,2,7,16%,11%
26,国立,鳥取大学,うち21歳,28,14,42,4,1,5,14%,7%,15,10,25,6,0,6,40%,0%,12,6,18,0,1,1,0%,17%,29,4,33,3,1,4,10%,25%,20,5,25,4,0,4,20%,0%,7,10,17,0,1,1,0%,10%
26,国立,鳥取大学,うち22歳以上,72,18,90,9,1,10,13%,6%,37,7,44,13,0,13,35%,0%,51,11,62,8,0,8,16%,0%,51,16,67,7,3,10,14%,19%,57,24,81,6,0,6,11%,0%,39,14,53,5,4,9,13%,29%
27,国立,島根大学,合計,273,213,486,53,50,103,19%,23%,250,212,462,56,49,105,22%,23%,349,247,596,64,38,102,18%,15%,358,272,630,54,48,102,15%,18%,285,209,494,65,37,102,23%,18%,328,259,587,53,51,104,16%,20%
27,国立,島根大学,うち18歳以下,82,85,167,20,21,41,24%,25%,80,76,156,15,17,32,19%,22%,105,79,184,19,9,28,18%,11%,121,111,232,17,19,36,14%,17%,82,79,161,23,11,34,28%,14%,76,96,172,14,21,35,18%,22%
27,国立,島根大学,うち19歳,77,85,162,15,18,33,19%,21%,65,92,157,20,23,43,31%,25%,97,103,200,19,19,38,20%,18%,94,100,194,15,22,37,16%,22%,78,84,162,20,22,42,26%,26%,90,91,181,20,18,38,22%,20%
27,国立,島根大学,うち20歳,14,15,29,0,6,6,0%,40%,24,13,37,2,6,8,8%,46%,27,22,49,4,5,9,15%,23%,30,13,43,6,0,6,20%,0%,26,19,45,5,3,8,19%,16%,38,24,62,4,3,7,11%,13%
27,国立,島根大学,うち21歳,13,5,18,3,2,5,23%,40%,8,7,15,2,1,3,25%,14%,16,8,24,5,0,5,31%,0%,24,10,34,3,2,5,13%,20%,11,7,18,2,0,2,18%,0%,24,15,39,3,5,8,13%,33%
27,国立,島根大学,うち22歳以上,87,23,110,15,3,18,17%,13%,73,24,97,17,2,19,23%,8%,104,35,139,17,5,22,16%,14%,89,38,127,13,5,18,15%,13%,88,20,108,15,1,16,17%,5%,100,33,133,12,4,16,12%,12%
28,国立,岡山大学,合計,213,148,361,69,46,115,32%,31%,284,161,445,87,29,116,31%,18%,263,155,418,83,33,116,32%,21%,273,115,388,91,26,117,33%,23%,287,140,427,79,36,115,28%,26%,264,109,373,88,27,115,33%,25%
28,国立,岡山大学,うち18歳以下,88,69,157,23,22,45,26%,32%,119,78,197,32,12,44,27%,15%,114,78,192,32,14,46,28%,18%,103,58,161,36,12,48,35%,21%,115,46,161,29,6,35,25%,13%,116,55,171,39,10,49,34%,18%
28,国立,岡山大学,うち19歳,66,52,118,33,22,55,50%,42%,80,48,128,32,12,44,40%,25%,81,41,122,26,11,37,32%,27%,82,31,113,38,10,48,46%,32%,74,61,135,24,21,45,32%,34%,68,28,96,29,13,42,43%,46%
28,国立,岡山大学,うち20歳,23,12,35,5,1,6,22%,8%,33,13,46,11,2,13,33%,15%,25,18,43,12,3,15,48%,17%,38,15,53,10,2,12,26%,13%,44,21,65,14,8,22,32%,38%,25,10,35,7,3,10,28%,30%
28,国立,岡山大学,うち21歳,7,1,8,3,0,3,43%,0%,7,5,12,0,2,2,0%,40%,11,3,14,5,3,8,45%,100%,9,1,10,1,0,1,11%,0%,8,4,12,4,1,5,50%,25%,12,1,13,3,0,3,25%,0%
28,国立,岡山大学,うち22歳以上,29,14,43,5,1,6,17%,7%,45,17,62,12,1,13,27%,6%,32,15,47,8,2,10,25%,13%,41,10,51,6,2,8,15%,20%,46,8,54,8,0,8,17%,0%,43,15,58,10,1,11,23%,7%
29,国立,広島大学,合計,449,196,645,90,33,123,20%,17%,531,217,748,89,35,124,17%,16%,494,229,723,84,36,120,17%,16%,607,215,822,96,26,122,16%,12%,613,222,835,86,35,121,14%,16%,470,199,669,86,34,120,18%,17%
29,国立,広島大学,うち18歳以下,225,121,346,40,19,59,18%,16%,240,109,349,43,18,61,18%,17%,246,138,384,37,21,58,15%,15%,301,123,424,32,9,41,11%,7%,264,108,372,43,21,64,16%,19%,230,124,354,41,22,63,18%,18%
29,国立,広島大学,うち19歳,117,47,164,33,12,45,28%,26%,145,73,218,35,17,52,24%,23%,115,53,168,29,11,40,25%,21%,141,57,198,46,14,60,33%,25%,164,61,225,30,12,42,18%,20%,123,46,169,32,12,44,26%,26%
29,国立,広島大学,うち20歳,35,8,43,9,0,9,26%,0%,47,16,63,6,0,6,13%,0%,47,8,55,7,2,9,15%,25%,66,12,78,13,3,16,20%,25%,72,25,97,11,2,13,15%,8%,48,9,57,6,0,6,13%,0%
29,国立,広島大学,うち21歳,28,10,38,4,1,5,14%,10%,31,4,35,2,0,2,6%,0%,29,8,37,6,2,8,21%,25%,21,7,28,2,0,2,10%,0%,35,10,45,1,0,1,3%,0%,11,4,15,0,0,0,0%,0%
29,国立,広島大学,うち22歳以上,44,10,54,4,1,5,9%,10%,68,15,83,3,0,3,4%,0%,57,22,79,5,0,5,9%,0%,78,16,94,3,0,3,4%,0%,78,18,96,1,0,1,1%,0%,58,16,74,7,0,7,12%,0%
30,国立,山口大学,合計,323,160,483,78,32,110,24%,20%,429,253,682,72,36,108,17%,14%,327,227,554,72,35,107,22%,15%,416,300,716,61,47,108,15%,16%,358,211,569,70,37,107,20%,18%,297,210,507,69,38,107,23%,18%
30,国立,山口大学,うち18歳以下,137,81,218,28,14,42,20%,17%,219,132,351,27,19,46,12%,14%,156,133,289,26,17,43,17%,13%,206,153,359,20,21,41,10%,14%,149,108,257,32,17,49,21%,16%,148,130,278,28,21,49,19%,16%
30,国立,山口大学,うち19歳,97,41,138,27,8,35,28%,20%,103,84,187,23,9,32,22%,11%,102,56,158,30,11,41,29%,20%,110,103,213,20,20,40,18%,19%,112,76,188,21,17,38,19%,22%,89,53,142,26,11,37,29%,21%
30,国立,山口大学,うち20歳,42,19,61,12,6,18,29%,32%,39,11,50,10,0,10,26%,0%,23,17,40,7,6,13,30%,35%,45,21,66,10,5,15,22%,24%,51,8,59,11,0,11,22%,0%,35,12,47,12,4,16,34%,33%
30,国立,山口大学,うち21歳,18,9,27,5,3,8,28%,33%,21,14,35,4,7,11,19%,50%,11,4,15,1,1,2,9%,25%,20,10,30,5,1,6,25%,10%,14,4,18,1,1,2,7%,25%,6,6,12,2,2,4,33%,33%
30,国立,山口大学,うち22歳以上,29,10,39,6,1,7,21%,10%,47,12,59,8,1,9,17%,8%,35,17,52,8,0,8,23%,0%,35,13,48,6,0,6,17%,0%,32,15,47,5,2,7,16%,13%,19,9,28,1,0,1,5%,0%
31,国立,徳島大学,合計,144,100,244,66,49,115,46%,49%,184,124,308,68,51,119,37%,41%,144,79,223,76,39,115,53%,49%,275,124,399,71,44,115,26%,35%,219,95,314,72,43,115,33%,45%,267,127,394,80,35,115,30%,28%
31,国立,徳島大学,うち18歳以下,68,58,126,30,28,58,44%,48%,74,62,136,31,28,59,42%,45%,40,39,79,26,20,46,65%,51%,63,51,114,18,22,40,29%,43%,68,44,112,23,23,46,34%,52%,82,57,139,25,18,43,30%,32%
31,国立,徳島大学,うち19歳,43,31,74,21,17,38,49%,55%,51,38,89,22,14,36,43%,37%,52,32,84,29,13,42,56%,41%,115,46,161,38,12,50,33%,26%,51,34,85,29,17,46,57%,50%,87,39,126,33,11,44,38%,28%
31,国立,徳島大学,うち20歳,12,4,16,9,0,9,75%,0%,19,9,28,6,3,9,32%,33%,20,4,24,10,4,14,50%,100%,32,12,44,8,5,13,25%,42%,20,9,29,7,2,9,35%,22%,21,12,33,6,6,12,29%,50%
31,国立,徳島大学,うち21歳,6,2,8,3,1,4,50%,50%,9,5,14,2,2,4,22%,40%,7,1,8,5,1,6,71%,100%,22,10,32,5,4,9,23%,40%,17,2,19,5,0,5,29%,0%,12,4,16,3,0,3,25%,0%
31,国立,徳島大学,うち22歳以上,15,5,20,3,3,6,20%,60%,31,10,41,7,4,11,23%,40%,25,3,28,6,1,7,24%,33%,43,5,48,2,1,3,5%,20%,63,6,69,8,1,9,13%,17%,65,15,80,13,0,13,20%,0%
32,国立,香川大学,合計,264,177,441,69,43,112,26%,24%,354,268,622,62,47,109,18%,18%,297,200,497,69,44,113,23%,22%,352,230,582,66,45,111,19%,20%,323,165,488,75,37,112,23%,22%,309,199,508,72,40,112,23%,20%
32,国立,香川大学,うち18歳以下,120,105,225,32,24,56,27%,23%,168,138,306,21,30,51,13%,22%,139,129,268,29,25,54,21%,19%,169,140,309,25,23,48,15%,16%,142,87,229,34,18,52,24%,21%,147,113,260,27,20,47,18%,18%
32,国立,香川大学,うち19歳,61,34,95,19,8,27,31%,24%,79,58,137,23,13,36,29%,22%,64,31,95,18,11,29,28%,35%,72,42,114,15,11,26,21%,26%,73,31,104,22,11,33,30%,35%,72,38,110,23,15,38,32%,39%
32,国立,香川大学,うち20歳,26,12,38,7,4,11,27%,33%,29,27,56,7,4,11,24%,15%,26,20,46,7,3,10,27%,15%,38,18,56,11,5,16,29%,28%,34,13,47,10,5,15,29%,38%,34,11,45,12,2,14,35%,18%
32,国立,香川大学,うち21歳,13,7,20,4,3,7,31%,43%,20,10,30,4,0,4,20%,0%,18,2,20,5,1,6,28%,50%,22,7,29,9,4,13,41%,57%,17,10,27,1,0,1,6%,0%,13,11,24,1,0,1,8%,0%
32,国立,香川大学,うち22歳以上,44,19,63,7,4,11,16%,21%,58,35,93,7,0,7,12%,0%,50,18,68,10,4,14,20%,22%,51,23,74,6,2,8,12%,9%,57,24,81,8,3,11,14%,13%,43,26,69,9,3,12,21%,12%
33,国立,愛媛大学,合計,234,165,399,70,46,116,30%,28%,406,268,674,63,50,113,16%,19%,482,331,813,65,52,117,13%,16%,505,310,815,61,52,113,12%,17%,408,262,670,68,40,108,17%,15%,422,286,708,63,44,107,15%,15%
33,国立,愛媛大学,うち18歳以下,123,89,212,40,19,59,33%,21%,196,142,338,29,30,59,15%,21%,188,176,364,30,23,53,16%,13%,244,171,415,36,26,62,15%,15%,216,156,372,31,23,54,14%,15%,183,160,343,27,27,54,15%,17%
33,国立,愛媛大学,うち19歳,76,47,123,22,17,39,29%,36%,127,80,207,23,17,40,18%,21%,183,85,268,24,18,42,13%,21%,136,93,229,18,21,39,13%,23%,110,68,178,27,14,41,25%,21%,145,81,226,26,13,39,18%,16%
33,国立,愛媛大学,うち20歳,15,17,32,5,5,10,33%,29%,49,26,75,10,3,13,20%,12%,53,40,93,9,6,15,17%,15%,59,22,81,1,4,5,2%,18%,36,19,55,6,3,9,17%,16%,40,19,59,6,2,8,15%,11%
33,国立,愛媛大学,うち21歳,6,3,9,2,2,4,33%,67%,12,6,18,0,0,0,0%,0%,26,10,36,1,2,3,4%,20%,33,9,42,5,1,6,15%,11%,16,2,18,3,0,3,19%,0%,22,8,30,2,1,3,9%,13%
33,国立,愛媛大学,うち22歳以上,14,9,23,1,3,4,7%,33%,22,14,36,1,0,1,5%,0%,32,20,52,1,3,4,3%,15%,33,15,48,1,0,1,3%,0%,30,17,47,1,0,1,3%,0%,32,18,50,2,1,3,6%,6%
34,国立,高知大学,合計,275,221,496,58,52,110,21%,24%,311,219,530,70,42,112,23%,19%,318,185,503,80,34,114,25%,18%,333,185,518,86,25,111,26%,14%,330,203,533,85,28,113,26%,14%,336,194,530,73,37,110,22%,19%
34,国立,高知大学,うち18歳以下,95,95,190,13,20,33,14%,21%,114,113,227,19,17,36,17%,15%,98,85,183,19,8,27,19%,9%,107,97,204,23,12,35,21%,12%,93,101,194,20,12,32,22%,12%,135,93,228,20,14,34,15%,15%
34,国立,高知大学,うち19歳,112,98,210,27,26,53,24%,27%,105,82,187,28,20,48,27%,24%,124,88,212,36,23,59,29%,26%,122,68,190,36,9,45,30%,13%,127,79,206,33,12,45,26%,15%,116,82,198,28,15,43,24%,18%
34,国立,高知大学,うち20歳,35,15,50,7,2,9,20%,13%,41,13,54,16,3,19,39%,23%,36,6,42,13,2,15,36%,33%,48,9,57,15,0,15,31%,0%,41,11,52,12,3,15,29%,27%,36,11,47,10,7,17,28%,64%
34,国立,高知大学,うち21歳,11,6,17,4,1,5,36%,17%,17,6,23,3,2,5,18%,33%,20,1,21,8,0,8,40%,0%,16,3,19,2,3,5,13%,100%,19,5,24,7,0,7,37%,0%,22,5,27,11,1,12,50%,20%
34,国立,高知大学,うち22歳以上,22,7,29,7,3,10,32%,43%,34,5,39,4,0,4,12%,0%,40,5,45,4,1,5,10%,20%,40,8,48,10,1,11,25%,13%,50,7,57,13,1,14,26%,14%,27,3,30,4,0,4,15%,0%
35,国立,九州大学,合計,237,78,315,89,23,112,38%,29%,254,79,333,92,20,112,36%,25%,276,63,339,101,13,114,37%,21%,300,66,366,100,14,114,33%,21%,276,76,352,89,22,111,32%,29%,364,81,445,101,12,113,28%,15%
35,国立,九州大学,うち18歳以下,95,38,133,41,8,49,43%,21%,97,32,129,47,6,53,48%,19%,75,30,105,37,8,45,49%,27%,104,25,129,36,7,43,35%,28%,91,32,123,37,13,50,41%,41%,161,40,201,45,5,50,28%,13%
35,国立,九州大学,うち19歳,46,19,65,18,11,29,39%,58%,49,18,67,22,9,31,45%,50%,75,14,89,37,4,41,49%,29%,62,15,77,29,5,34,47%,33%,63,16,79,26,7,33,41%,44%,85,18,103,38,4,42,45%,22%
35,国立,九州大学,うち20歳,18,2,20,10,1,11,56%,50%,26,7,33,10,2,12,38%,29%,21,6,27,11,1,12,52%,17%,34,5,39,18,1,19,53%,20%,29,10,39,13,1,14,45%,10%,31,11,42,8,2,10,26%,18%
35,国立,九州大学,うち21歳,8,4,12,2,0,2,25%,0%,14,2,16,3,1,4,21%,50%,14,1,15,7,0,7,50%,0%,11,6,17,3,0,3,27%,0%,9,4,13,3,1,4,33%,25%,15,1,16,4,0,4,27%,0%
35,国立,九州大学,うち22歳以上,70,15,85,18,3,21,26%,20%,68,20,88,10,2,12,15%,10%,91,12,103,9,0,9,10%,0%,89,15,104,14,1,15,16%,7%,84,14,98,10,0,10,12%,0%,72,11,83,6,1,7,8%,9%
36,国立,佐賀大学,合計,220,169,389,62,45,107,28%,27%,217,177,394,62,46,108,29%,26%,196,197,393,52,55,107,27%,28%,200,171,371,62,46,108,31%,27%,256,159,415,62,46,108,24%,29%,202,134,336,64,44,108,32%,33%
36,国立,佐賀大学,うち18歳以下,139,116,255,41,28,69,29%,24%,132,125,257,37,34,71,28%,27%,127,134,261,34,37,71,27%,28%,119,110,229,39,31,70,33%,28%,125,100,225,34,31,65,27%,31%,118,88,206,37,31,68,31%,35%
36,国立,佐賀大学,うち19歳,46,38,84,13,12,25,28%,32%,65,38,103,19,7,26,29%,18%,46,37,83,14,13,27,30%,35%,58,49,107,16,12,28,28%,24%,88,38,126,25,11,36,28%,29%,46,28,74,18,10,28,39%,36%
36,国立,佐賀大学,うち20歳,28,11,39,7,4,11,25%,36%,15,10,25,5,5,10,33%,50%,12,18,30,2,3,5,17%,17%,14,7,21,3,3,6,21%,43%,17,16,33,2,4,6,12%,25%,22,7,29,6,3,9,27%,43%
36,国立,佐賀大学,うち21歳,4,1,5,1,1,2,25%,100%,1,1,2,1,0,1,100%,0%,5,2,7,1,1,2,20%,50%,4,1,5,3,0,3,75%,0%,8,3,11,0,0,0,0%,0%,6,6,12,2,0,2,33%,0%
36,国立,佐賀大学,うち22歳以上,3,3,6,0,0,0,0%,0%,4,3,7,0,0,0,0%,0%,6,6,12,1,1,2,17%,17%,5,4,9,1,0,1,20%,0%,18,2,20,1,0,1,6%,0%,10,5,15,1,0,1,10%,0%
37,国立,長崎大学,合計,304,136,440,83,39,122,27%,29%,286,134,420,84,40,124,29%,30%,272,107,379,89,29,118,33%,27%,311,140,451,86,31,117,28%,22%,317,135,452,86,32,118,27%,24%,237,108,345,77,41,118,32%,38%
